review_id,review_title,review_body,language,product_category,sentiment_label,confidence,notes
en_0540951,Get a different product,"Not great, they stop working after a few weeks. I’ve purchased them 4 times now because the first 2 weeks they work well and are perfect for night time but they stop working after about 2 weeks",en,home_improvement,,,
en_0776613,Poor packaging,"Box came in broken, impossible to remove product from bottle, and the scent is a little off; almost like rotten limes. Would not recommend.",en,beauty,,,
en_0049996,Prone to scratches.,The glass on the screen is very prone to scratches.,en,wireless,,,
en_0282294,Excellent anime,Very pleased. Cannot wait to get season 2.,en,other,,,
en_0661278,Old candy,These were old Christmas candy.,en,grocery,,,
en_0488122,Great price and good quality but slightly more grey than ...,Great price and good quality but slightly more grey than I hoped but will still be using on my west facing door.,en,home,,,
en_0524780,Good courtroom drama,I enjoy reading legal thrillers and this one did not disappoint. The ending was very satisfying also. I dropped it down to a four because of the bad language.,en,digital_ebook_purchase,,,
en_0312212,I don't think is a natural stone.,I do not believe this is a (natural) stone because it looks synthetic (man made) but is it beautiful.,en,home,,,
en_0296584,pretty good price-wise and fast delivery,Perhaps extra-strength cream would cover my problems better. Will order it next time,en,drugstore,,,
en_0506275,runs small,"The construction seems good, but it is way too small for a size large.",en,apparel,,,
en_0820135,No cords to link them together,Just arrived. Lights seem alright and quite bright. 3 stars because the cords for hooking the lights up in a series are not included. The way it is written up I was definitely expecting the cords to come with the lights. So now I need to find the right cords.,en,home_improvement,,,
en_0095007,I love this product and so does my son very helpful,I love this product and so does my son very helpful. Only downside is that whatever you put in it usually stains but so much better then the cloth version,en,baby_product,,,
en_0245097,Product used,"It is an excellent graphics card, but it came to me used, or is what I think, when it opened it was missing the backplate protector and also lacked the serial number that is also attached to the backplate, talk to Amazon about this problem. and they told me that all the products they were selling were new, it is very rare because they did not even open it.",en,pc,,,
en_0294653,Good charger on the go.,"Charger has worked fine for my needs. The fan is very loud as is the end of cycle beep but noise aside, it's great.",en,toy,,,
en_0542225,Fine glasses,"this is well-designed and steady glasses, however, I have to return it because of polarized lens. it is not used to me, very hard to see properly.",en,shoes,,,
en_0635320,Great for trail rides and phone use.,Love it. Works great with my iPhone X. Use it for taking video of trail rides and for general use with google maps and phone calls. I do suggest securing the nut provided tightly when you go out on trail. Tighten it after you get your phone where you want it.,en,automotive,,,
en_0328069,Wish I had bought leather years ago,"I've been buying a couple bands for my Fitbit every six months or so. This has been my favorite by far. Because the watch is only water resistant, it's not like I'm worried about the leather getting all wet. This is so comfortable, adjustable and looks classic. Previous bands I have bought would get funky against my skin or had a magnet that interfered with my laptop, phone and other metal or magnetic objects.",en,wireless,,,
en_0777093,Works Well,I have zero issues with it. Works well for green screen application purposes.,en,home_improvement,,,
en_0930346,Hard to regulate the pump flow,"I really like this tank. I am still trying to figure out the pump though. I have to run the pump and turn it off because it is too strong for my beta fish. The fish is swimming against it and appears to be struggling. I will be doing the first cleaning and hope that maybe it was something I did wrong because that filter is the reason why I bought it. The size of the tank is perfect for the beta and the LED lights are great. I added a heater to the tank and the casing on the back of the tank does not click in place. Otherwise the tank is well made. The instructions could be a little better written as well. Since I have a beta I kept it because technically they are okay without a filter but having a working pump without such a strong pull in a small tank would definitely be a plus for the fish. Will continue to work on this, if it works later I will come back and rewrite my review to reflect it.",en,pet_products,,,
en_0707851,Four Stars,Cute toy. My grandson loves it.,en,toy,,,
en_0436779,Getting it repaired or replaced,We loved the necklace but the chain broke 2 weeks after we received it. Can I get it fixed or replaced?,en,other,,,
en_0934251,Nice,Very nice kit. Does the job.,en,other,,,
en_0032500,Not worth the price,"Cheaply made, doesn't pair half the time, and the sound cuts in and out a lot.",en,wireless,,,
en_0968777,One Star,"I find other aromatherapy vaporizers more pleasant smelling, and they're less expensive.",en,beauty,,,
en_0208932,A lot of st,I thought the plot interesting and unique and liked how the author wove it all together in her story. I did feel there was far too much graphic sex passages that really were not necessary to make this a nice read. I usually just gloss over but it seemed I had to do it more than usual. That is the reason I went with this rating.,en,digital_ebook_purchase,,,
en_0517055,Broken case and loose disc..,Well i love this movie but the inside of the case was broke and the disc was scratched up from being loose in the case. Really disappointed,en,other,,,
en_0134831,Needs a full 8 hour charge before use.,Looks bigger online.,en,toy,,,
en_0378808,It did not arrive,I did not receive order.,en,grocery,,,
en_0753293,heavy furniture very easy.,"Makes moving large, heavy furniture very easy.",en,home_improvement,,,
en_0940713,Trash,"Impossible to put together, trashy construction and came bent!",en,lawn_and_garden,,,
en_0950211,Love the clarity,"Great for storing pantry items because you can see what’s in them! Perfectly clear plastic, quite strong.",en,kitchen,,,
en_0730947,Great Product!,Got this replacement battery for my old white MacBook! Super cheap and super satisfied. Works like new again!! Thank you!,en,pc,,,
en_0100838,Not happy,"Flimsy, too small, very disappointing.",en,pet_products,,,
en_0339151,Don't like it,This is not human hair. It tangle from the first day I put it in. It sheds real real bad.,en,beauty,,,
en_0189706,Cute toy,Fun colors. Perfect for my one year old niece. Definitely a little larger than I expected would could be hard to hold for some.,en,toy,,,
en_0193755,Doesn’t work on black nails.,"It’s difficult to position the nail just right for it to be illuminated and trimmed. Forget trying this item to illuminate your dogs nails if your dog has black nails, you can’t see anything through black nails. Don’t waste your money.",en,pet_products,,,
en_0341678,Deformed but sturdy,The colors of the fiesta tortilla warmers were vibrant and awesome. I loved the idea of having three. The plastic seemed very durable. The reason for two stars: The kids seemed to go very far into the container making little room for the tortillas. I returned these because one of the container was deformed and the lid would not fit the container. Wish they would have worked.,en,kitchen,,,
en_0916593,Best backpack ever!,Backpacked europe for ten days with this and was great. Affordable and nice design!,en,luggage,,,
en_0956740,"Convenient. Fairly healthy, I think.","It's my routine breakfast, and substitutes for any missed meal. It tastes cooked and canned, but I happen to be comfortable with that flavor.",en,other,,,
en_0879650,Cheap Clasp-Lost Fitbit,I loved the look of this band but unfortunately it has a cheap clasp and I lost my entire Fitbit!,en,sports,,,
en_0635600,Not a supported accessory,"Works for a minute or so, then gets the error, “This accessory is not supported by this iPhone.” iPhone XR. When reading all the 5 star reviews, they seem fake or irrelevant. Hope this helps someone out there, good day.",en,wireless,,,
en_0827166,Great fit for the price,These mats were a great addition to my new car! They fit nicely in my Honda I sight and feel durable. The price was great! I’m taking off one star because they do need to be readjusted sometimes as they seem to slid ever so slightly.,en,automotive,,,
en_0749121,Raiders socks,Good quality. Comfy.,en,apparel,,,
en_0808809,... day randomly beads everywhere but the case is really pretty,The bracelet broke the next day randomly beads everywhere but the case is really pretty,en,wireless,,,
en_0014277,Didn't even last one hour...,I bought 3. All 3 broke on the first job where i used them.,en,other,,,
en_0256854,Scratch material in the waist area,"Whatever material they use for ""tummy control"" is scratchy and uncomfortable",en,sports,,,
en_0817248,One Star,"I have this stool not even one year, the hydraulic bar is not functioning",en,furniture,,,
en_0353911,Work well but...,"I've been teaching high impact fitness classes for forty years, so naturally, I have a lot of foot issues. These pads gave some relief, but only lasted about a week before they fell apart. There are several in the package. so at least they were useful for a while, maybe for someone in less action classes.",en,drugstore,,,
en_0087364,Wireless charging stops after a few minutes of charging,"I bought this for the wireless charging capability. I was disappointed that when using wireless charging, it will charge for a few minutes and then it stops charging. You have to continuously check on it to make sure the charging has not shut off. I bought three of these. One for myself and two for gifts. Then I ordered a forth one for another gift. All four have a the same problem. I would not buy again.",en,wireless,,,
en_0256802,Excellent.,Belt works great and a 3-pack is a good deal.,en,apparel,,,
en_0117659,which I received promptly and in good packaging. However,"I purchased this product, which I received promptly and in good packaging. However, only 3 of the 4 cables were iPhone compatible as the product title describes. The 8 in, 3 ft, and 10 ft cables were correct. However, the 6 ft cable was a micro USB cable, which is used to charge Android devices.",en,wireless,,,
en_0358504,good design. excessive small damages done in shipping due ...,good design. excessive small damages done in shipping due to lack of packing materials (and of course the constant disrespect of property by shipping companies). I would have returned if it were not for the fact that this is in my warehouse and cosmetics were not as important as they would be in a home,en,home_improvement,,,
en_0650159,May not fit any phone pass IPhone 6,Love it bag was it hit.....,en,shoes,,,
en_0553522,Five Stars,Made great stocking stuffers!!,en,other,,,
en_0857171,Nothing special just good quality,Nothing special just good quality,en,apparel,,,
en_0389957,Comfortable and true to size,"Very comfortable (great for long shifts where I need to be standing) I believe there were reviews saying to order half a size up, but I would say these were true to size, now my flats are half a size too big",en,shoes,,,
en_0032431,Stylish and catchy but not a running shoe,"These are rather stylish and simple sock shoes. They are very comfortable and great in the summer. I would not recommend wearing these on a rainy day as they are effectively socks with a sole. After three months of constant use the stitching has held up surprisingly well, but it seems that I have torn the inside of the sole and my feet are now digging it out. Also would not recommend running or going on any difficult terrain in these as they do not have any ankle support and I have found my ankle slipping around. Overall a very aesthetic and eye drawing shoe, that will maybe last you a season or 2 for the price.",en,toy,,,
en_0277648,Good story,"I recommend this to any Star Wars novel fan, enjoy a good solid story with solid action and great writing.",en,digital_ebook_purchase,,,
en_0939214,Love it,"This deodorant is awesome. I got it mainly to try reducing plastic waste. I got the unscented. I had been using Native, which I’d initially loved, but the grittiness was getting to me, and I truly hate plastic deodorant packaging. I don’t get a lot of odor but this keeps me dry-even in 95 degree temperatures, and no odor. It goes on smoothly, like rubbing a soft pastel under my arms. I just remember b it in a bit and done. No grit. I use the paper as a holder. The only flaw is that it comes from abroad, so that’s not good carbon footprint wise.",en,beauty,,,
en_0075327,Does it’s job with some struggling.,"I bought this can opener for my mother who has trouble opening cans due to a hand injury. This can opener does its job but it has a hard time opening cans, it sounds like the batteries are going to die even though they are brand new, it turns super slow and I almost think it sounds like it wants to break. Overall it’s still kicking but I would have rather bought a old fashion plug in can opener.",en,kitchen,,,
en_0106298,One Star,I ordered xxx- large and they sent size medium.,en,other,,,
en_0177628,Mine broke after 3 uses,"Bought two based on the number of positive reviews, first one broke within 3 uses. Just taking internal meat temperature in my home kitchen. LCD screen flashes in and off with ERR message. Doesn’t work at all. Avoid.",en,kitchen,,,
en_0460401,"Envelope doesn't seal, but forms are fine",The Envelope adhesive was applied to the wrong areas so when you fold the envelope the 2 self sealing adhesives don't line up. I had to tape each envelope because even liquid envelope adhesive sealer didn't work because one side of it was hitting the self sealing adhesive. The pic shows and outline where the adhesive hits and how the 2 sides don't line up. The forms were good and worked with QuickBooks fine.,en,office_product,,,
en_0123145,Compact Pump Packs a Punch,Exactly as described. Small and modular. Fits easily in a locker or bag. Dual action pump works fast. Easily pumped up my new soccer ball.,en,sports,,,
en_0267823,Don’t buy a “ Used” item....,"Altho I know I bought it “ used”, I did not expect it to be chipped. Disappointed.",en,kitchen,,,
en_0375426,Didn’t do anything,"I ordered this bc my 9 year old son had a wart on the back of his head. My husband put it on his wart several times and it never went anywhere, smh.",en,drugstore,,,
en_0227489,My family and I enjoyed it! We would purchase this product again,Very healthy snack! My family and I enjoyed it! We would purchase this product again!,en,grocery,,,
en_0344782,Great for Murder Mystery Dinner Party.,I used these on the table and around the house for my murder mystery dinner party. Great addition. Not reusable.,en,kitchen,,,
en_0458119,Great movie.,Great movie and acting. Well done to the end.,en,other,,,
en_0675957,Energy,This does help give me that morning energy I need.,en,drugstore,,,
en_0436404,"Great idea, comfortable belts, bad smell--cannot be real leather.","Nicely priced, fast shipping. Easy to adjust belts that come in a nicely upscale box; however, there is an industrial/chemical odor when you open the box. Even after hanging the belts in the open air for a few weeks to get rid of the odor, they still stink when you put your nose right up to them. Should be okay to wear; but, it doesn't look like that nasty chemical smell is going away. I even tried placing them in a plastic bag with a scented laundry dryer sheet, with no luck. I'm guessing these CANNOT BE REAL LEATHER.",en,apparel,,,
en_0302315,You will not regret buying this!,"This wig did not disappoint! Beautiful color, shine without looking fake, and easy to style. Reacted well to low heat styling. Arrived very curly, I straightened and styled on my own. No damage whatsoever from heat styling. Tracks have wide spacing, BUT this wig is very voluminous. Pictures included are with zero tweezing on the lace. Very happy!",en,beauty,,,
en_0030612,Too small for AR15,"Bought this for cleaning an AR15, but it’s too small, had to return.",en,sports,,,
en_0954881,This was my answer to receive local channels,"After paying for Netflix and Hulu, I don’t want to waste money on monthly cable bills, but I still want access to local stations which also carries the live sports games on weekends. This antenna does just that. It comes in just one item, the antenna with the cable to connect to the TV. The antenna is not that big and is made of some flexible plastic material. I can easily hide it behind the TV. It was able to pick up those over the air local station in HD, and that’s all I need. Happy with the item.",en,electronics,,,
en_0338269,Bye Bye Battery Life,It won’t even charge the battery up half way. Not worth the money at all.,en,other,,,
en_0483978,Three Stars,Works as it should. Kinda noisy and its not really mini.,en,pc,,,
en_0853851,I don’t recomend,I did receive the item and it says it did arrive I don’t approve bc I wasted money on it,en,other,,,
en_0302264,Fabric is stiff,One of the prints wasn’t Christmas and the feel of the fabric is not soft.,en,home,,,
en_0831598,Not my best purchase,Didn’t work as well as I hoped.,en,drugstore,,,
en_0241280,Excellent product!,I have been using this pot everyday for about a month now to steam baby food and veggies. It has been very durable so far. Seems like good quality as well.,en,kitchen,,,
en_0097109,Poor quality and doesn’t last,They were too tight even for little girls and one broke right away. The shorter one seems sturdier and may be usable long term. The other isn’t worth the purchase.,en,beauty,,,
en_0106609,Great product..great price,Arrived before scheduled. Did as directed on instructions. Works beautifully and is a very soothing ambiance,en,home_improvement,,,
en_0699614,New design sucks,"Ok, like everyone else said, this new design sucks. Like, it's really terrible. If you follow the instructions, it's not comfortable at all because it only molds to the top teeth if you use the tray. I re-molded it outside of the tray using both my upper and lower teeth, and now it's bearable. I miss the weird old plastic one I had by them, but alas, I chewed through it. :'(",en,beauty,,,
en_0817296,No my type of book.,The book was not what I thought it would be.,en,digital_ebook_purchase,,,
en_0170036,Three Stars,I did not read that they were MINI!!,en,home,,,
en_0677222,Cheap but works when you want to feel sexy without spending too much.,Came shipped in a envelope then in the bag you see. Little disappointed in the fact that I had just taken the white pair out of the bag to try them on and they were already falling apart in some areas. Good to note all 4 are sheer feel great. Strong silicone that holds up tight.,en,apparel,,,
en_0576305,Side by side comparison of this Yerba vs. others is legit!,Ive been drinking Yerba Mate for years now and honestly this stuff does not compare to the other brands I’ve tried and stood by. That side by side photo of these Yerba leaves vs the stems/leaves photo of the other brands really is true and there are helpful tips for a better brewing experience on the box. I will definitely keep buying this brand instead.,en,grocery,,,
en_0716938,Interesting Book !!,This my first time to hear about Python and Raspberry PI and was hyped to finish reading this book. Raspberry Pi has gone through several generations since the program was first created and released to the public. The very first generation of the program was released in 2012 which was then followed by another model that was inexpensive and straightforward to use. This book is great for those people who wants to become an excellent programmer.,en,digital_ebook_purchase,,,
en_0954807,loved loved loved it,Wow what a deal my sister is a photographer and she loved loved loved it and it’s not cheap looking or feeling very good quality especially for the price.,en,kitchen,,,
en_0083492,Super comfy!,"Super comfy, and love the pockets. Use it daily for workout",en,apparel,,,
en_0436046,Broken end caps,I bought it from Amazon warehouse and it said it might have missing bolts that is fine but it came with bolts and broken end caps,en,automotive,,,
en_0813729,Very cute.,"I bought them as a gift for a little boy, He loves them a much. It was easy to put on the wall. Prints arrived in good conditions.",en,home,,,
en_0574934,"Missing glove, dirty guard, customer service MIA",Did not include the safety glove promised in the description. Food guard was dirty--appeared used. Emailed the customer service account on the included card Sunday afternoon and have not received a reply as of 8:30 pm Monday. I will update my review if the seller fixes their errors.,en,kitchen,,,
en_0737292,Will block screen if there are screens on the backs of headrests. Not comfortable on seats that don't recline,"The difficulty I had with using these is that you it goes around the entire headrest -- which means that if the seats have video screens on the backs of them, you're going to be obstructing the person's view behind you! So that's not an option. On seats without video screens I did use it, but it was really awkward and my head was held in this straight upright position which actually wasn't that conducive to sleeping. If you're on Spirit or Frontier where the seats don't recline -- really not comfortable unfortunately.",en,luggage,,,
en_0229378,One Star,"This said american size, it was chinese size and way too small XXL is a large",en,apparel,,,
en_0989275,Costco,"Arrived quickly, went on easily, fell better having it protect my screen.",en,wireless,,,
en_0360306,Junk,Did not fit my phone at all,en,wireless,,,
en_0588182,Five Stars,THE ITEM ARRIVED IN A TIMELY MANNER. AND THE PRICE WAS GREAT,en,grocery,,,
en_0744518,It was broken when I received it,"A piece of the side paneling was broken off when I received this item in the mail. I had wood glue, so it wasn't hard to fix, and I didn't want to wait for the item to have to be returned and then reshipped. But I would not buy it again, even though it is a beautiful item with good storage.",en,home,,,
en_0597009,I was getting more disconnections and sometimes just flat out no internet for hours when the router was working fine. My TP-Link,"It worked as intended for several months but then it sorta just died out. I was getting more disconnections and sometimes just flat out no internet for hours when the router was working fine. My TP-Link pretty much died, but it might not be the same for you, i probably just had a bad defective one. I know it's the product since i have replaced it with a different product that has yet to fail on me. Purchase with caution, might work better on a laptop than a desktop for just simple basic things like checking emails and what not. Unless you're a gamer or some one who watches streams frequently, i would recommend something else, otherwise it might be the thing for you and its affordable.",en,pc,,,
en_0948302,Meh,Item is a little flimsy and didn't come with instructions.,en,office_product,,,
en_0306295,Simple Design,"We like that it’s easy to use, just put an sd card or usb drive. Comes with a remote since photos on the ad doesn’t show one just so you know. So far it’s working great, no problem at all.",en,camera,,,
en_0527053,Quality was not good.,Feels cheap. It fits though.,en,apparel,,,
en_0452426,BAD,arrived in very bad condition while the packaging was impeccable,en,toy,,,
en_0153717,Five Stars,Favorite sling ever go ahead and buy one,en,sports,,,
en_0183302,"May arrive broken, works great when it isn't.","I ordered two for a couple of my flags. With one sticking out, having pierced the packaging when it arrived, it was in tact, but the other one came with a broken weld where the square nut is supposed to be attached to the cuff. I'm looking all over Amazon and the only sand anchors I can find that don't screw into the ground all seem to be this same model, probably from the same manufacturer, being sold by only two or three sellers. The one that didn't arrived broken works wonderfully, I just hope that if I order another from a different seller, I will win the gamble of not having to return it.",en,lawn_and_garden,,,
en_0545877,Heavy duty solid S Hooks,"I use these for everything. From hanging washcloths and towels, oven mitts, kitchen utensils, cleaning supplies, etc. gets stuff off my counter and out of the way. Couldn’t be more ideal! These are strong, solid S hooks that aren’t going to bend or break with regular use. I love that they have little caps to smooth out the rough ends and prevent stuff from falling off. They work wonderfully.",en,home,,,
en_0078697,Just okay.....,There has just a slight change in the design from the first one I ever bought but there is a significant difference in the performance. You have to hold it at a different angle than what I was used but it still doesn't shave as well as the previous version.,en,beauty,,,
en_0147739,Medium? More like extra large!,"I ordered medium for my elderly Mom. She likes things a bit large for comfort, BUT this size ""medium"" is more like an XL or larger. I don't believe I've ever seen such a discrepancy in sizes. I like the dress for my Mom, and she liked it too, but I'm not going to order another, because I'm afraid the small will still be much too large and I certainly don't want to pay for shipping again. Actually, since it's the company's fault by marking it as medium, and it's no way in shape or form a medium, they should have paid for shipping it back to them.",en,apparel,,,
en_0856233,Larger tab. Picture shows.,Product was larger than appearance in picture. Stuck out from end of rifle a fair bit. Quality is fine for price. There are better options available. Don’t get if you need tactility,en,sports,,,
en_0868587,4 of them were broken upon arrival,Ok bulbs but packaging 10 of these could use some work,en,home_improvement,,,
en_0236997,Did not work,"I bought this to sharpen my Wustof Ikon knife set, but it did not work. In fact it seem to strip the edge off my knives and make them worse than ever.",en,kitchen,,,
en_0746620,You get what you pay for,"Cool designs, pretty cheaply made though. In the 2 weeks I've had them 2 have broken off or tarnished",en,apparel,,,
en_0608807,Fake REVIEWS,use fakespot.com to analyze the quality of the reviews after I purchased the product. It is full of unreliable feedback,en,drugstore,,,
en_0918423,Was ok for a month then one of the cords ...,Was ok for a month then one of the cords doesnt stay in correctly. Going back to previous brand of usb cords that I have purchased on amazon,en,wireless,,,
en_0032132,Three Stars,Just regular markers I guess,en,home,,,
en_0290023,Scent does not last,"As noted by other reviewers the scent does not last very long. It is very strong at first, but the scent fades quickly. So it goes from overpowering to nothing in a matter of days. However, works well to remove unwanted odors for a short time. I used on my air purifier.",en,home_improvement,,,
en_0823890,Strong chemical smell,They are cute but the chemical smell is horrible!,en,toy,,,
en_0616492,Great Earring Organizer,"Too many earrings and not enough ways to see them was my problem. Although not all big earrings will fit in these compartments, most of them do and I can easily see which ones are there without opening up the case. I have 3 of these now and plan for a couple more to replace earring boxes with solid tops and compartments that are too deep to extract a delicate earring.",en,apparel,,,
en_0864531,Don't waste your money.,Suction cups don't stay on glass.,en,pet_products,,,
en_0817116,Runs small,Very cute but made small. I ordered a size larger than I normally wear and it was tight.,en,apparel,,,
en_0135159,Great Product,Had a really old stain that I have tried EVERYTHING to get up with no luck. This product worked great and loosing up the stain in the fabric and allowing me to soak it up. The only negative is I had to use all four cans over multiple days to get it up. But again note that this stain has been there for years!!,en,drugstore,,,
en_0703680,Heavy Duty,"Nice, heavy duty walker. It is too wide for some doors.",en,toy,,,
en_0571736,Surprisingly effective,"After I learned how to use this device, I was surprised and delighted at how much easier it is to dry my long, thick hair. More importantly, I was able to eliminate the second (straightening) process entirely, because this dryer also helped style and improve the condition of my hair. Quite amazing!",en,beauty,,,
en_0624890,My husband loves the shirts I like them because they do not shrink after washing hold ...,My husband loves the shirts I like them because they do not shrink after washing hold it shape also thanks,en,apparel,,,
en_0328488,Unhappy with purchase,Seal was broken. Product looks different than prior purchase.,en,lawn_and_garden,,,
en_0310159,One Star,Like the bulbs bought two one came broke in the package not sure how to get replace ?,en,home_improvement,,,
en_0918243,Too expensive for size and look,It's ok. Cheap looking,en,baby_product,,,
en_0941733,Sizing,"Ordered the size I always buy and it’s too small, disappointed in the sizing of the garment, other than that it a very nice garment.",en,apparel,,,
en_0461803,See through,See through- the thin material,en,apparel,,,
en_0748277,Pretty comfortable even though one of my nose guard things ...,"Still fogs a little, but way less. Pretty comfortable even though one of my nose guard things came off and am having a hard time clipping it back on. I guess i could glue it on.",en,other,,,
en_0743265,Smaller than expected,This was smaller than I expected it to be. I thought it would be blousy and flowy but it is form fitting.,en,apparel,,,
en_0302698,As advertised but they gave me a used/opened item,"The kaleidoscope works fine but the box it came in was open and had a tear on one side. Clearly, they did not repackage the item well or just don't care.",en,toy,,,
en_0754015,An ok product.,Runs a little small. Once you snap the inner buttons and the outer buttons it fits very snugly. Didn’t like that. And baby grew out of them faster than other products. I did like the side snaps when baby was real new as getting onesies over the head was a struggle. I wish these came in colors other than grey. Material on the medium thickness side. An ok product.,en,apparel,,,
en_0374087,It’s ok.,I personally think it helps relax me. The taste is ok but the smell is not the greatest,en,drugstore,,,
en_0290679,Missing screws,How can i contact sellers ? There are missing screws and i need them.,en,furniture,,,
